car_id,car_type,color,year,km,average_price,transmission,body_type
19548,Mitsubishi_Outlander_2009,White,2009,48371179,992179,Automatic,Sedan
5,Mazda_Mazda 2_2021,Red,2021,24183748,421320,Automatic,Sedan
282,Mazda_Mazda 2_2021,White,2021,26609440,421320,Automatic,Sedan
1303,Mazda_Mazda 2_2021,Red,2021,24530854,421320,Automatic,Sedan
1564,Mazda_Mazda 2_2021,Black,2021,19676298,421320,Automatic,Sedan
1744,Mazda_Mazda 2_2021,Blue,2021,23240452,421320,Automatic,Sedan
3354,Mazda_Mazda 2_2021,Black,2021,20144672,421320,Automatic,Sedan
4792,Mazda_Mazda 2_2021,Blue,2021,22749481,421320,Automatic,Sedan
5833,Mazda_Mazda 2_2021,Orange,2021,23468208,421320,Automatic,Sedan
7071,Mazda_Mazda 2_2021,Red,2021,21905367,421320,Automatic,Sedan
7212,Mazda_Mazda 2_2021,Red,2021,23658845,421320,Automatic,Sedan
7263,Mazda_Mazda 2_2021,Black,2021,28590109,421320,Automatic,Sedan
7628,Mazda_Mazda 2_2021,Red,2021,25620231,421320,Automatic,Sedan
11062,Mazda_Mazda 2_2021,White,2021,19497307,421320,Automatic,Sedan
11191,Mazda_Mazda 2_2021,Black,2021,25913118,421320,Automatic,Sedan
11838,Mazda_Mazda 2_2021,Black,2021,23826649,421320,Automatic,Sedan
13193,Mazda_Mazda 2_2021,White,2021,19082298,421320,Automatic,Sedan
14472,Mazda_Mazda 2_2021,Red,2021,25028902,421320,Automatic,Sedan
15593,Mazda_Mazda 2_2021,White,2021,19823126,421320,Automatic,Sedan
17180,Mazda_Mazda 2_2021,Red,2021,21861818,421320,Automatic,Sedan
19029,Mazda_Mazda 2_2021,White,2021,25679730,421320,Automatic,Sedan
744,Lincoln_MKX_2010,Black,2010,10289450,722375,Automatic,Sedan
1080,Lincoln_MKX_2010,Red,2010,3969591,722375,Automatic,Sedan
3821,Lincoln_MKX_2010,Red,2010,8844101,722375,Automatic,Sedan
5029,Lincoln_MKX_2010,Black,2010,7482757,722375,Automatic,Sedan
5173,Lincoln_MKX_2010,Red,2010,10527653,722375,Automatic,Sedan
6116,Lincoln_MKX_2010,Black,2010,8032320,722375,Automatic,Sedan
6789,Lincoln_MKX_2010,Red,2010,9467202,722375,Automatic,Sedan
7014,Lincoln_MKX_2010,Red,2010,12912406,722375,Automatic,Sedan
7045,Lincoln_MKX_2010,Blue,2010,6071548,722375,Automatic,Sedan
7790,Lincoln_MKX_2010,Blue,2010,6081913,722375,Automatic,Sedan
8287,Lincoln_MKX_2010,Blue,2010,10088182,722375,Automatic,Sedan
9358,Lincoln_MKX_2010,Blue,2010,6032944,722375,Automatic,Sedan
11989,Lincoln_MKX_2010,White,2010,8744420,722375,Automatic,Sedan
12247,Lincoln_MKX_2010,Blue,2010,6612378,722375,Automatic,Sedan
13068,Lincoln_MKX_2010,Black,2010,3679142,722375,Automatic,Sedan
13731,Lincoln_MKX_2010,Blue,2010,7860391,722375,Automatic,Sedan
14692,Lincoln_MKX_2010,Red,2010,11734014,722375,Automatic,Sedan
14806,Lincoln_MKX_2010,Blue,2010,9300826,722375,Automatic,Sedan
15199,Lincoln_MKX_2010,Orange,2010,12297514,722375,Automatic,Sedan
17498,Lincoln_MKX_2010,Black,2010,7832531,722375,Automatic,Sedan
18260,Lincoln_MKX_2010,Blue,2010,9216804,722375,Automatic,Sedan
18953,Lincoln_MKX_2010,Black,2010,5493584,722375,Automatic,Sedan
7,Mazda_MX-5_2016,Black,2016,37757167,823493,Automatic,Sedan
1200,Mazda_MX-5_2016,Black,2016,36191242,823493,Automatic,Sedan
1557,Mazda_MX-5_2016,Blue,2016,43489044,823493,Automatic,Sedan
1817,Mazda_MX-5_2016,White,2016,38708691,823493,Automatic,Sedan
3082,Mazda_MX-5_2016,Blue,2016,38718346,823493,Automatic,Sedan
6427,Mazda_MX-5_2016,Black,2016,35861866,823493,Automatic,Sedan
6925,Mazda_MX-5_2016,White,2016,38575678,823493,Automatic,Sedan
6968,Mazda_MX-5_2016,Red,2016,39989079,823493,Automatic,Sedan
9564,Mazda_MX-5_2016,White,2016,44683386,823493,Automatic,Sedan
10157,Mazda_MX-5_2016,Blue,2016,41235291,823493,Automatic,Sedan
12115,Mazda_MX-5_2016,Black,2016,38242763,823493,Automatic,Sedan
18005,Mazda_MX-5_2016,White,2016,40336946,823493,Automatic,Sedan
18448,Mazda_MX-5_2016,White,2016,40005361,823493,Automatic,Sedan
18497,Mazda_MX-5_2016,Red,2016,35676600,823493,Automatic,Sedan
19619,Mazda_MX-5_2016,White,2016,37697002,823493,Automatic,Sedan
4476,BMW_X6_2019,Black,2019,22335410,629417,Automatic,Truck
5808,BMW_X6_2019,Black,2019,29089692,629417,Automatic,Truck
6535,BMW_X6_2019,Black,2019,22963244,629417,Automatic,Truck
7808,BMW_X6_2019,Black,2019,23726562,629417,Automatic,Truck
8365,BMW_X6_2019,White,2019,26830618,629417,Automatic,Truck
8459,BMW_X6_2019,White,2019,21623877,629417,Automatic,Truck
8715,BMW_X6_2019,Blue,2019,23756722,629417,Automatic,Truck
13338,BMW_X6_2019,Orange,2019,25713838,629417,Automatic,Truck
13708,BMW_X6_2019,Black,2019,25282430,629417,Automatic,Truck
15493,BMW_X6_2019,White,2019,27472551,629417,Automatic,Truck
15760,BMW_X6_2019,White,2019,20139250,629417,Automatic,Truck
17764,BMW_X6_2019,Black,2019,22776660,629417,Automatic,Truck
9,Dodge_Caliber_2010,White,2010,40865448,522541,Automatic,Coupe
2506,Dodge_Caliber_2010,White,2010,45091544,522541,Automatic,Coupe
7488,Dodge_Caliber_2010,Black,2010,44487264,522541,Automatic,Coupe
7984,Dodge_Caliber_2010,Orange,2010,40711450,522541,Automatic,Coupe
9978,Dodge_Caliber_2010,Blue,2010,41107041,522541,Automatic,Coupe
11098,Dodge_Caliber_2010,White,2010,39177967,522541,Automatic,Coupe
11819,Dodge_Caliber_2010,White,2010,36358443,522541,Automatic,Coupe
12046,Dodge_Caliber_2010,White,2010,44751326,522541,Automatic,Coupe
12077,Dodge_Caliber_2010,Black,2010,44760125,522541,Automatic,Coupe
12946,Dodge_Caliber_2010,Black,2010,39247759,522541,Automatic,Coupe
13405,Dodge_Caliber_2010,White,2010,35281055,522541,Automatic,Coupe
14255,Dodge_Caliber_2010,White,2010,39517282,522541,Automatic,Coupe
16298,Dodge_Caliber_2010,Red,2010,35716820,522541,Automatic,Coupe
10,GMC_Terrain_2015,Black,2015,29208059,281396,Automatic,Sedan
1315,GMC_Terrain_2015,White,2015,23232630,281396,Automatic,Sedan
3313,GMC_Terrain_2015,White,2015,21050953,281396,Automatic,Sedan
4067,GMC_Terrain_2015,Blue,2015,27552503,281396,Automatic,Sedan
4303,GMC_Terrain_2015,Red,2015,21117089,281396,Automatic,Sedan
4500,GMC_Terrain_2015,Black,2015,29196811,281396,Automatic,Sedan
5657,GMC_Terrain_2015,Black,2015,30201100,281396,Automatic,Sedan
6304,GMC_Terrain_2015,Black,2015,23315429,281396,Automatic,Sedan
7259,GMC_Terrain_2015,Red,2015,24804621,281396,Automatic,Sedan
7769,GMC_Terrain_2015,Black,2015,28758504,281396,Automatic,Sedan
7930,GMC_Terrain_2015,Black,2015,28878966,281396,Automatic,Sedan
8563,GMC_Terrain_2015,Black,2015,24379159,281396,Automatic,Sedan
9173,GMC_Terrain_2015,White,2015,23498596,281396,Automatic,Sedan
9866,GMC_Terrain_2015,White,2015,26274341,281396,Automatic,Sedan
13223,GMC_Terrain_2015,Red,2015,20923251,281396,Automatic,Sedan
13226,GMC_Terrain_2015,Red,2015,24644635,281396,Automatic,Sedan
15960,GMC_Terrain_2015,Red,2015,23160025,281396,Automatic,Sedan
16670,GMC_Terrain_2015,Blue,2015,23801232,281396,Automatic,Sedan
18736,GMC_Terrain_2015,Orange,2015,24538670,281396,Automatic,Sedan
19721,GMC_Terrain_2015,Black,2015,23986981,281396,Automatic,Sedan
143,Acura_TLX_2017,White,2017,14037691,914912,Automatic,SUV
464,Acura_TLX_2017,Blue,2017,15561740,914912,Automatic,SUV
1654,Acura_TLX_2017,Red,2017,23934492,914912,Automatic,SUV
1741,Acura_TLX_2017,Black,2017,18896733,914912,Automatic,SUV
2257,Acura_TLX_2017,White,2017,14893499,914912,Automatic,SUV
2394,Acura_TLX_2017,Red,2017,21321488,914912,Automatic,SUV
2797,Acura_TLX_2017,Red,2017,21367612,914912,Automatic,SUV
7789,Acura_TLX_2017,Red,2017,21060872,914912,Automatic,SUV
8223,Acura_TLX_2017,Red,2017,19024987,914912,Automatic,SUV
11336,Acura_TLX_2017,Black,2017,21913773,914912,Automatic,SUV
16069,Acura_TLX_2017,Red,2017,14337658,914912,Automatic,SUV
17179,Acura_TLX_2017,Blue,2017,19252336,914912,Automatic,SUV
17250,Acura_TLX_2017,Red,2017,18288762,914912,Automatic,SUV
546,BMW_Serie 5_2014,White,2014,37913645,638187,Automatic,Sedan
4988,BMW_Serie 5_2014,Red,2014,37064050,638187,Automatic,Sedan
7303,BMW_Serie 5_2014,White,2014,33547504,638187,Automatic,Sedan
7871,BMW_Serie 5_2014,White,2014,31527678,638187,Automatic,Sedan
8415,BMW_Serie 5_2014,Red,2014,32956660,638187,Automatic,Sedan
10976,BMW_Serie 5_2014,Orange,2014,34744310,638187,Automatic,Sedan
12016,BMW_Serie 5_2014,White,2014,31585970,638187,Automatic,Sedan
12316,BMW_Serie 5_2014,Black,2014,31271289,638187,Automatic,Sedan
13722,BMW_Serie 5_2014,Blue,2014,38484080,638187,Automatic,Sedan
14230,BMW_Serie 5_2014,White,2014,38987120,638187,Automatic,Sedan
16202,BMW_Serie 5_2014,Black,2014,38574972,638187,Automatic,Sedan
17555,BMW_Serie 5_2014,Red,2014,35877862,638187,Automatic,Sedan
17716,BMW_Serie 5_2014,Black,2014,32785428,638187,Automatic,Sedan
18656,BMW_Serie 5_2014,Black,2014,40205468,638187,Automatic,Sedan
13,Buick_Envision_2016,Red,2016,21839125,636625,Automatic,Sedan
648,Buick_Envision_2016,Black,2016,28193166,636625,Automatic,Sedan
1932,Buick_Envision_2016,Blue,2016,26296550,636625,Automatic,Sedan
1952,Buick_Envision_2016,Black,2016,30269329,636625,Automatic,Sedan
2431,Buick_Envision_2016,Black,2016,23233899,636625,Automatic,Sedan
2741,Buick_Envision_2016,White,2016,28191089,636625,Automatic,Sedan
4741,Buick_Envision_2016,Black,2016,22529193,636625,Automatic,Sedan
10042,Buick_Envision_2016,Black,2016,28306578,636625,Automatic,Sedan
10287,Buick_Envision_2016,Red,2016,22452920,636625,Automatic,Sedan
10528,Buick_Envision_2016,Black,2016,23411721,636625,Automatic,Sedan
11181,Buick_Envision_2016,Black,2016,20777334,636625,Automatic,Sedan
11226,Buick_Envision_2016,Blue,2016,29407211,636625,Automatic,Sedan
11767,Buick_Envision_2016,Black,2016,25438968,636625,Automatic,Sedan
13598,Buick_Envision_2016,Black,2016,26807534,636625,Automatic,Sedan
15328,Buick_Envision_2016,Blue,2016,29027695,636625,Automatic,Sedan
15409,Buick_Envision_2016,White,2016,25856008,636625,Automatic,Sedan
15607,Buick_Envision_2016,Black,2016,23576183,636625,Automatic,Sedan
17229,Buick_Envision_2016,Black,2016,23873834,636625,Automatic,Sedan
17648,Buick_Envision_2016,Orange,2016,22691883,636625,Automatic,Sedan
19313,Buick_Envision_2016,Black,2016,28066077,636625,Automatic,Sedan
19749,Buick_Envision_2016,Black,2016,23060412,636625,Automatic,Sedan
784,Audi_A4_2018,Red,2018,35548517,476254,Automatic,SUV
1133,Audi_A4_2018,Red,2018,31207479,476254,Automatic,SUV
4580,Audi_A4_2018,Blue,2018,29080856,476254,Automatic,SUV
5802,Audi_A4_2018,White,2018,31064946,476254,Automatic,SUV
6018,Audi_A4_2018,Blue,2018,30353797,476254,Automatic,SUV
6877,Audi_A4_2018,Black,2018,27345504,476254,Automatic,SUV
9525,Audi_A4_2018,White,2018,27350859,476254,Automatic,SUV
9871,Audi_A4_2018,White,2018,29869812,476254,Automatic,SUV
12481,Audi_A4_2018,White,2018,34735472,476254,Automatic,SUV
14756,Audi_A4_2018,Black,2018,30378178,476254,Automatic,SUV
18924,Audi_A4_2018,Black,2018,32696507,476254,Automatic,SUV
15,Audi_Q5 Quattro_2011,Red,2011,22343627,428540,Automatic,SUV
1111,Audi_Q5 Quattro_2011,Black,2011,17409895,428540,Automatic,SUV
2466,Audi_Q5 Quattro_2011,White,2011,19758771,428540,Automatic,SUV
2493,Audi_Q5 Quattro_2011,Black,2011,21645194,428540,Automatic,SUV
3447,Audi_Q5 Quattro_2011,Black,2011,22414981,428540,Automatic,SUV
4474,Audi_Q5 Quattro_2011,Black,2011,24417557,428540,Automatic,SUV
5859,Audi_Q5 Quattro_2011,White,2011,17473905,428540,Automatic,SUV
6394,Audi_Q5 Quattro_2011,Red,2011,20996528,428540,Automatic,SUV
6709,Audi_Q5 Quattro_2011,Black,2011,20522978,428540,Automatic,SUV
6848,Audi_Q5 Quattro_2011,Black,2011,18724926,428540,Automatic,SUV
6917,Audi_Q5 Quattro_2011,Black,2011,21191949,428540,Automatic,SUV
8700,Audi_Q5 Quattro_2011,Red,2011,19472788,428540,Automatic,SUV
9558,Audi_Q5 Quattro_2011,Black,2011,19423920,428540,Automatic,SUV
9782,Audi_Q5 Quattro_2011,White,2011,25633207,428540,Automatic,SUV
11615,Audi_Q5 Quattro_2011,White,2011,26752683,428540,Automatic,SUV
13674,Audi_Q5 Quattro_2011,Black,2011,20668425,428540,Automatic,SUV
16132,Audi_Q5 Quattro_2011,Black,2011,24839305,428540,Automatic,SUV
16731,Audi_Q5 Quattro_2011,Black,2011,22096229,428540,Automatic,SUV
17271,Audi_Q5 Quattro_2011,Blue,2011,18251535,428540,Automatic,SUV
19017,Audi_Q5 Quattro_2011,Blue,2011,26779946,428540,Automatic,SUV
19552,Audi_Q5 Quattro_2011,Black,2011,25735892,428540,Automatic,SUV
16,Renault_Stepway_2019,Black,2019,37616315,260038,Automatic,Sedan
913,Renault_Stepway_2019,Black,2019,36868597,260038,Automatic,Sedan
1889,Renault_Stepway_2019,Black,2019,31724658,260038,Automatic,Sedan
3458,Renault_Stepway_2019,Black,2019,31410344,260038,Automatic,Sedan
4432,Renault_Stepway_2019,Red,2019,34211678,260038,Automatic,Sedan
4994,Renault_Stepway_2019,Black,2019,33869529,260038,Automatic,Sedan
7650,Renault_Stepway_2019,Red,2019,32788763,260038,Automatic,Sedan
8262,Renault_Stepway_2019,White,2019,37021146,260038,Automatic,Sedan
8762,Renault_Stepway_2019,White,2019,36585514,260038,Automatic,Sedan
9692,Renault_Stepway_2019,White,2019,39374141,260038,Automatic,Sedan
10900,Renault_Stepway_2019,Red,2019,34986215,260038,Automatic,Sedan
12270,Renault_Stepway_2019,Red,2019,34421573,260038,Automatic,Sedan
12322,Renault_Stepway_2019,White,2019,39324277,260038,Automatic,Sedan
12430,Renault_Stepway_2019,Red,2019,33984608,260038,Automatic,Sedan
12596,Renault_Stepway_2019,Red,2019,37388771,260038,Automatic,Sedan
13864,Renault_Stepway_2019,Red,2019,40307851,260038,Automatic,Sedan
14981,Renault_Stepway_2019,White,2019,34744688,260038,Automatic,Sedan
16218,Renault_Stepway_2019,Black,2019,31678544,260038,Automatic,Sedan
19975,Renault_Stepway_2019,White,2019,34258072,260038,Automatic,Sedan
186,Volvo_C30_2008,Black,2008,24704247,640741,Automatic,SUV
919,Volvo_C30_2008,White,2008,32033397,640741,Automatic,SUV
1232,Volvo_C30_2008,White,2008,24522934,640741,Automatic,SUV
1970,Volvo_C30_2008,White,2008,28479347,640741,Automatic,SUV
2166,Volvo_C30_2008,White,2008,27324513,640741,Automatic,SUV
2590,Volvo_C30_2008,White,2008,28045870,640741,Automatic,SUV
8505,Volvo_C30_2008,Red,2008,24227908,640741,Automatic,SUV
8647,Volvo_C30_2008,Blue,2008,27611568,640741,Automatic,SUV
12393,Volvo_C30_2008,Black,2008,26060460,640741,Automatic,SUV
12965,Volvo_C30_2008,Red,2008,24518387,640741,Automatic,SUV
13129,Volvo_C30_2008,Red,2008,29266780,640741,Automatic,SUV
13990,Volvo_C30_2008,Red,2008,25210065,640741,Automatic,SUV
15202,Volvo_C30_2008,White,2008,24629989,640741,Automatic,SUV
17820,Volvo_C30_2008,Black,2008,28552467,640741,Automatic,SUV
18774,Volvo_C30_2008,White,2008,29159237,640741,Automatic,SUV
19403,Volvo_C30_2008,Black,2008,23970546,640741,Automatic,SUV
19773,Volvo_C30_2008,Black,2008,30949233,640741,Automatic,SUV
18,Suzuki_Vitara_2018,Blue,2018,22987292,237367,Automatic,Truck
342,Suzuki_Vitara_2018,Black,2018,22729726,237367,Automatic,Truck
639,Suzuki_Vitara_2018,White,2018,19157659,237367,Automatic,Truck
2109,Suzuki_Vitara_2018,Black,2018,22370395,237367,Automatic,Truck
3161,Suzuki_Vitara_2018,Black,2018,25851952,237367,Automatic,Truck
5907,Suzuki_Vitara_2018,White,2018,24377314,237367,Automatic,Truck
6549,Suzuki_Vitara_2018,Red,2018,19726814,237367,Automatic,Truck
6611,Suzuki_Vitara_2018,Black,2018,23452094,237367,Automatic,Truck
8903,Suzuki_Vitara_2018,Red,2018,21584014,237367,Automatic,Truck
11197,Suzuki_Vitara_2018,White,2018,18682363,237367,Automatic,Truck
13994,Suzuki_Vitara_2018,Black,2018,19620825,237367,Automatic,Truck
14802,Suzuki_Vitara_2018,White,2018,21025358,237367,Automatic,Truck
14894,Suzuki_Vitara_2018,Black,2018,23566295,237367,Automatic,Truck
16923,Suzuki_Vitara_2018,Red,2018,27479912,237367,Automatic,Truck
16932,Suzuki_Vitara_2018,Blue,2018,23845946,237367,Automatic,Truck
17952,Suzuki_Vitara_2018,Blue,2018,21175165,237367,Automatic,Truck
18214,Suzuki_Vitara_2018,Blue,2018,28190586,237367,Automatic,Truck
18427,Suzuki_Vitara_2018,Blue,2018,25492534,237367,Automatic,Truck
19373,Suzuki_Vitara_2018,Black,2018,24782726,237367,Automatic,Truck
19660,Suzuki_Vitara_2018,Black,2018,21807955,237367,Automatic,Truck
19,Volkswagen_Tiguan_2011,White,2011,7864604,264939,Manual,Sedan
1960,Volkswagen_Tiguan_2011,Blue,2011,14547653,264939,Manual,Sedan
2494,Volkswagen_Tiguan_2011,Red,2011,13283313,264939,Manual,Sedan
5021,Volkswagen_Tiguan_2011,Black,2011,15005127,264939,Manual,Sedan
6217,Volkswagen_Tiguan_2011,White,2011,8699776,264939,Manual,Sedan
7321,Volkswagen_Tiguan_2011,White,2011,14682538,264939,Manual,Sedan
9510,Volkswagen_Tiguan_2011,Blue,2011,15486340,264939,Manual,Sedan
9684,Volkswagen_Tiguan_2011,Blue,2011,11894042,264939,Manual,Sedan
9929,Volkswagen_Tiguan_2011,Blue,2011,12261947,264939,Manual,Sedan
12231,Volkswagen_Tiguan_2011,White,2011,12170070,264939,Manual,Sedan
13300,Volkswagen_Tiguan_2011,Blue,2011,6968656,264939,Manual,Sedan
13593,Volkswagen_Tiguan_2011,Red,2011,15514584,264939,Manual,Sedan
14021,Volkswagen_Tiguan_2011,Red,2011,15159004,264939,Manual,Sedan
16486,Volkswagen_Tiguan_2011,Red,2011,9755843,264939,Manual,Sedan
17173,Volkswagen_Tiguan_2011,Black,2011,10055441,264939,Manual,Sedan
18284,Volkswagen_Tiguan_2011,White,2011,14315465,264939,Manual,Sedan
19830,Volkswagen_Tiguan_2011,White,2011,12301924,264939,Manual,Sedan
20,Ford_F450 Super Duty_2010,White,2010,14256664,940346,Automatic,Sedan
135,Ford_F450 Super Duty_2010,White,2010,18163837,940346,Automatic,Sedan
1011,Ford_F450 Super Duty_2010,White,2010,14652820,940346,Automatic,Sedan
1131,Ford_F450 Super Duty_2010,Black,2010,19071906,940346,Automatic,Sedan
2656,Ford_F450 Super Duty_2010,Blue,2010,16044512,940346,Automatic,Sedan
3603,Ford_F450 Super Duty_2010,Blue,2010,11809399,940346,Automatic,Sedan
3669,Ford_F450 Super Duty_2010,Red,2010,14480133,940346,Automatic,Sedan
4652,Ford_F450 Super Duty_2010,Black,2010,19832993,940346,Automatic,Sedan
7961,Ford_F450 Super Duty_2010,Black,2010,15289314,940346,Automatic,Sedan
8528,Ford_F450 Super Duty_2010,White,2010,16196304,940346,Automatic,Sedan
8879,Ford_F450 Super Duty_2010,Blue,2010,12677857,940346,Automatic,Sedan
9934,Ford_F450 Super Duty_2010,Red,2010,20403266,940346,Automatic,Sedan
10267,Ford_F450 Super Duty_2010,Red,2010,17736872,940346,Automatic,Sedan
12932,Ford_F450 Super Duty_2010,Blue,2010,13274359,940346,Automatic,Sedan
14496,Ford_F450 Super Duty_2010,White,2010,12038881,940346,Automatic,Sedan
14969,Ford_F450 Super Duty_2010,Red,2010,20216901,940346,Automatic,Sedan
19088,Ford_F450 Super Duty_2010,Red,2010,16799209,940346,Automatic,Sedan
21,Mazda_CX-5_2021,Red,2021,29195638,760717,Manual,Sedan
149,Mazda_CX-5_2021,Black,2021,25051211,760717,Manual,Sedan
2556,Mazda_CX-5_2021,Blue,2021,29392060,760717,Manual,Sedan
2698,Mazda_CX-5_2021,Black,2021,32071552,760717,Manual,Sedan
6167,Mazda_CX-5_2021,Red,2021,26564170,760717,Manual,Sedan
6393,Mazda_CX-5_2021,Red,2021,31433239,760717,Manual,Sedan
6777,Mazda_CX-5_2021,Black,2021,35046649,760717,Manual,Sedan
8753,Mazda_CX-5_2021,Blue,2021,25241691,760717,Manual,Sedan
8827,Mazda_CX-5_2021,White,2021,33330192,760717,Manual,Sedan
11516,Mazda_CX-5_2021,Red,2021,31781011,760717,Manual,Sedan
