car_id,car_type,color,year,km
9863,Volkswagen_Passat_2008,Black,2008,12688834
10015,Volkswagen_Passat_2008,Red,2008,15693940
10366,Volkswagen_Passat_2008,Blue,2008,9906948
10479,Volkswagen_Passat_2008,Red,2008,8718765
11243,Volkswagen_Passat_2008,Black,2008,6055367
11671,Volkswagen_Passat_2008,Black,2008,15109099
11854,Volkswagen_Passat_2008,Blue,2008,7840075
12266,Volkswagen_Passat_2008,Blue,2008,13584306
13431,Volkswagen_Passat_2008,Black,2008,12939534
13466,Volkswagen_Passat_2008,Blue,2008,14877528
16503,Volkswagen_Passat_2008,White,2008,6864728
16627,Volkswagen_Passat_2008,Red,2008,7511530
18501,Volkswagen_Passat_2008,Black,2008,11288359
19507,Volkswagen_Passat_2008,White,2008,12577586
2,Volkswagen_Transporter_2014,Red,2014,27441875
1076,Volkswagen_Transporter_2014,Black,2014,26560862
1123,Volkswagen_Transporter_2014,White,2014,26319549
2568,Volkswagen_Transporter_2014,White,2014,26432678
3080,Volkswagen_Transporter_2014,White,2014,30056934
4943,Volkswagen_Transporter_2014,Orange,2014,22589278
6568,Volkswagen_Transporter_2014,Red,2014,27129198
7072,Volkswagen_Transporter_2014,Red,2014,22740817
7124,Volkswagen_Transporter_2014,Orange,2014,28279761
7314,Volkswagen_Transporter_2014,Red,2014,26312297
8033,Volkswagen_Transporter_2014,Red,2014,30637807
8082,Volkswagen_Transporter_2014,Black,2014,26033672
8539,Volkswagen_Transporter_2014,Black,2014,28765196
9787,Volkswagen_Transporter_2014,Orange,2014,30412933
9913,Volkswagen_Transporter_2014,Black,2014,29288092
9942,Volkswagen_Transporter_2014,Blue,2014,29045194
10375,Volkswagen_Transporter_2014,Black,2014,23682731
15192,Volkswagen_Transporter_2014,Black,2014,26945340
16854,Volkswagen_Transporter_2014,Red,2014,26577444
17090,Volkswagen_Transporter_2014,Black,2014,30230445
17532,Volkswagen_Transporter_2014,Blue,2014,30600343
17590,Volkswagen_Transporter_2014,Black,2014,25833448
17616,Volkswagen_Transporter_2014,White,2014,24119965
18279,Volkswagen_Transporter_2014,White,2014,22635417
18550,Volkswagen_Transporter_2014,Blue,2014,23834727
19913,Volkswagen_Transporter_2014,Black,2014,29478805
3,Nissan_Tiida_2015,White,2015,28416987
104,Nissan_Tiida_2015,Black,2015,34286184
890,Nissan_Tiida_2015,Red,2015,28940599
1441,Nissan_Tiida_2015,Black,2015,31809483
2021,Nissan_Tiida_2015,Red,2015,29011014
2457,Nissan_Tiida_2015,White,2015,29446351
3578,Nissan_Tiida_2015,Black,2015,32198041
5610,Nissan_Tiida_2015,Red,2015,32649783
6296,Nissan_Tiida_2015,Red,2015,35509083
8502,Nissan_Tiida_2015,Blue,2015,28166678
8884,Nissan_Tiida_2015,Red,2015,27823945
8889,Nissan_Tiida_2015,Black,2015,35116825
11313,Nissan_Tiida_2015,Black,2015,30747229
11394,Nissan_Tiida_2015,Black,2015,33097213
11858,Nissan_Tiida_2015,Black,2015,35817453
12887,Nissan_Tiida_2015,Black,2015,33897936
13315,Nissan_Tiida_2015,Black,2015,34269355
13643,Nissan_Tiida_2015,Red,2015,30441277
13723,Nissan_Tiida_2015,Red,2015,28981728
14002,Nissan_Tiida_2015,Red,2015,34286222
14030,Nissan_Tiida_2015,White,2015,30289389
14631,Nissan_Tiida_2015,Blue,2015,29352621
14675,Nissan_Tiida_2015,Black,2015,33586504
14776,Nissan_Tiida_2015,White,2015,30939800
15157,Nissan_Tiida_2015,White,2015,29889539
15728,Nissan_Tiida_2015,Blue,2015,27515255
16211,Nissan_Tiida_2015,Blue,2015,30481700
17142,Nissan_Tiida_2015,White,2015,32620213
17909,Nissan_Tiida_2015,Blue,2015,27662341
19071,Nissan_Tiida_2015,Black,2015,32315640
19852,Nissan_Tiida_2015,White,2015,29309734
4,Mitsubishi_Outlander_2009,Black,2009,42857477
748,Mitsubishi_Outlander_2009,Blue,2009,48329633
1339,Mitsubishi_Outlander_2009,Red,2009,46554994
1344,Mitsubishi_Outlander_2009,White,2009,41871536
1545,Mitsubishi_Outlander_2009,White,2009,39716075
2251,Mitsubishi_Outlander_2009,Black,2009,48158403
2295,Mitsubishi_Outlander_2009,Black,2009,43019137
3938,Mitsubishi_Outlander_2009,White,2009,45407373
4469,Mitsubishi_Outlander_2009,Orange,2009,43773799
6364,Mitsubishi_Outlander_2009,Black,2009,40738315
6992,Mitsubishi_Outlander_2009,Black,2009,44636821
9009,Mitsubishi_Outlander_2009,Black,2009,46442508
9084,Mitsubishi_Outlander_2009,Blue,2009,48209924
10486,Mitsubishi_Outlander_2009,White,2009,39804054
10612,Mitsubishi_Outlander_2009,Red,2009,43460866
11137,Mitsubishi_Outlander_2009,Black,2009,46167956
11551,Mitsubishi_Outlander_2009,Black,2009,48822502
11849,Mitsubishi_Outlander_2009,Black,2009,42710024
13494,Mitsubishi_Outlander_2009,Black,2009,49061130
13909,Mitsubishi_Outlander_2009,Blue,2009,47562129
14410,Mitsubishi_Outlander_2009,Orange,2009,45773884
14434,Mitsubishi_Outlander_2009,Black,2009,46933602
14611,Mitsubishi_Outlander_2009,Black,2009,45528080
14935,Mitsubishi_Outlander_2009,Black,2009,48102389
19247,Mitsubishi_Outlander_2009,Red,2009,43964748
19548,Mitsubishi_Outlander_2009,White,2009,48371179
5,Mazda_Mazda 2_2021,Red,2021,24183748
282,Mazda_Mazda 2_2021,White,2021,26609440
347,Mazda_Mazda 2_2021,Red,2021,28408065
1210,Mazda_Mazda 2_2021,Black,2021,21890952
1303,Mazda_Mazda 2_2021,Red,2021,24530854
1564,Mazda_Mazda 2_2021,Black,2021,19676298
1744,Mazda_Mazda 2_2021,Blue,2021,23240452
3354,Mazda_Mazda 2_2021,Black,2021,20144672
3803,Mazda_Mazda 2_2021,Red,2021,20778719
4004,Mazda_Mazda 2_2021,White,2021,23888478
4792,Mazda_Mazda 2_2021,Blue,2021,22749481
5239,Mazda_Mazda 2_2021,Red,2021,27410221
5833,Mazda_Mazda 2_2021,Orange,2021,23468208
6847,Mazda_Mazda 2_2021,Black,2021,26598829
7071,Mazda_Mazda 2_2021,Red,2021,21905367
7212,Mazda_Mazda 2_2021,Red,2021,23658845
7263,Mazda_Mazda 2_2021,Black,2021,28590109
7628,Mazda_Mazda 2_2021,Red,2021,25620231
8623,Mazda_Mazda 2_2021,White,2021,25658567
9356,Mazda_Mazda 2_2021,Black,2021,21454732
11023,Mazda_Mazda 2_2021,Blue,2021,20504761
11051,Mazda_Mazda 2_2021,Blue,2021,21151223
11062,Mazda_Mazda 2_2021,White,2021,19497307
11191,Mazda_Mazda 2_2021,Black,2021,25913118
11838,Mazda_Mazda 2_2021,Black,2021,23826649
12973,Mazda_Mazda 2_2021,Blue,2021,24814306
13193,Mazda_Mazda 2_2021,White,2021,19082298
13507,Mazda_Mazda 2_2021,Black,2021,28348620
13803,Mazda_Mazda 2_2021,Black,2021,26028431
14053,Mazda_Mazda 2_2021,Red,2021,19287119
14472,Mazda_Mazda 2_2021,Red,2021,25028902
15547,Mazda_Mazda 2_2021,Black,2021,27013703
15593,Mazda_Mazda 2_2021,White,2021,19823126
16454,Mazda_Mazda 2_2021,Red,2021,23131137
17180,Mazda_Mazda 2_2021,Red,2021,21861818
17344,Mazda_Mazda 2_2021,Red,2021,25520322
18729,Mazda_Mazda 2_2021,Black,2021,27166438
19029,Mazda_Mazda 2_2021,White,2021,25679730
19149,Mazda_Mazda 2_2021,Black,2021,27144346
6,Lincoln_MKX_2010,Red,2010,4919877
744,Lincoln_MKX_2010,Black,2010,10289450
1080,Lincoln_MKX_2010,Red,2010,3969591
1592,Lincoln_MKX_2010,White,2010,8416095
1760,Lincoln_MKX_2010,Black,2010,7877219
3821,Lincoln_MKX_2010,Red,2010,8844101
5029,Lincoln_MKX_2010,Black,2010,7482757
5173,Lincoln_MKX_2010,Red,2010,10527653
6116,Lincoln_MKX_2010,Black,2010,8032320
6789,Lincoln_MKX_2010,Red,2010,9467202
7014,Lincoln_MKX_2010,Red,2010,12912406
7045,Lincoln_MKX_2010,Blue,2010,6071548
7790,Lincoln_MKX_2010,Blue,2010,6081913
7800,Lincoln_MKX_2010,Blue,2010,6175045
8287,Lincoln_MKX_2010,Blue,2010,10088182
8374,Lincoln_MKX_2010,White,2010,8300723
9358,Lincoln_MKX_2010,Blue,2010,6032944
11265,Lincoln_MKX_2010,Black,2010,4727510
11989,Lincoln_MKX_2010,White,2010,8744420
12247,Lincoln_MKX_2010,Blue,2010,6612378
13068,Lincoln_MKX_2010,Black,2010,3679142
13118,Lincoln_MKX_2010,Red,2010,9974113
13731,Lincoln_MKX_2010,Blue,2010,7860391
14692,Lincoln_MKX_2010,Red,2010,11734014
14806,Lincoln_MKX_2010,Blue,2010,9300826
15199,Lincoln_MKX_2010,Orange,2010,12297514
16300,Lincoln_MKX_2010,Blue,2010,7888963
16363,Lincoln_MKX_2010,Blue,2010,9258242
17183,Lincoln_MKX_2010,Black,2010,5695224
17498,Lincoln_MKX_2010,Black,2010,7832531
18260,Lincoln_MKX_2010,Blue,2010,9216804
18953,Lincoln_MKX_2010,Black,2010,5493584
7,Mazda_MX-5_2016,Black,2016,37757167
418,Mazda_MX-5_2016,Black,2016,38247461
1200,Mazda_MX-5_2016,Black,2016,36191242
1557,Mazda_MX-5_2016,Blue,2016,43489044
1817,Mazda_MX-5_2016,White,2016,38708691
3082,Mazda_MX-5_2016,Blue,2016,38718346
4202,Mazda_MX-5_2016,White,2016,41800338
4323,Mazda_MX-5_2016,White,2016,40449629
4825,Mazda_MX-5_2016,Blue,2016,41327480
6427,Mazda_MX-5_2016,Black,2016,35861866
6925,Mazda_MX-5_2016,White,2016,38575678
6968,Mazda_MX-5_2016,Red,2016,39989079
8598,Mazda_MX-5_2016,Black,2016,40474385
9199,Mazda_MX-5_2016,Black,2016,44706936
9564,Mazda_MX-5_2016,White,2016,44683386
10157,Mazda_MX-5_2016,Blue,2016,41235291
12115,Mazda_MX-5_2016,Black,2016,38242763
14862,Mazda_MX-5_2016,Black,2016,36286222
15072,Mazda_MX-5_2016,Black,2016,39497881
15999,Mazda_MX-5_2016,White,2016,45540857
18005,Mazda_MX-5_2016,White,2016,40336946
18448,Mazda_MX-5_2016,White,2016,40005361
18497,Mazda_MX-5_2016,Red,2016,35676600
19425,Mazda_MX-5_2016,Blue,2016,44553432
19619,Mazda_MX-5_2016,White,2016,37697002
8,BMW_X6_2019,Blue,2019,27968216
1134,BMW_X6_2019,White,2019,27269534
2635,BMW_X6_2019,Red,2019,20243181
4476,BMW_X6_2019,Black,2019,22335410
4926,BMW_X6_2019,Black,2019,26501852
5808,BMW_X6_2019,Black,2019,29089692
6012,BMW_X6_2019,Black,2019,21538188
6262,BMW_X6_2019,Red,2019,20666277
6481,BMW_X6_2019,White,2019,27082375
6535,BMW_X6_2019,Black,2019,22963244
7808,BMW_X6_2019,Black,2019,23726562
8365,BMW_X6_2019,White,2019,26830618
8459,BMW_X6_2019,White,2019,21623877
8715,BMW_X6_2019,Blue,2019,23756722
10618,BMW_X6_2019,Black,2019,25426654
11388,BMW_X6_2019,White,2019,20095600
11607,BMW_X6_2019,Red,2019,23375722
13338,BMW_X6_2019,Orange,2019,25713838
13540,BMW_X6_2019,Blue,2019,28825951
13708,BMW_X6_2019,Black,2019,25282430
15493,BMW_X6_2019,White,2019,27472551
15760,BMW_X6_2019,White,2019,20139250
15917,BMW_X6_2019,Red,2019,27322538
16039,BMW_X6_2019,Blue,2019,21816421
17764,BMW_X6_2019,Black,2019,22776660
9,Dodge_Caliber_2010,White,2010,40865448
1126,Dodge_Caliber_2010,Red,2010,38164637
1852,Dodge_Caliber_2010,Red,2010,39189434
1858,Dodge_Caliber_2010,White,2010,36268735
2171,Dodge_Caliber_2010,Black,2010,38173838
2506,Dodge_Caliber_2010,White,2010,45091544
3136,Dodge_Caliber_2010,Black,2010,42689542
3272,Dodge_Caliber_2010,Red,2010,39342747
5369,Dodge_Caliber_2010,Red,2010,37872545
7488,Dodge_Caliber_2010,Black,2010,44487264
7705,Dodge_Caliber_2010,Red,2010,40700135
7984,Dodge_Caliber_2010,Orange,2010,40711450
9752,Dodge_Caliber_2010,White,2010,40550553
9978,Dodge_Caliber_2010,Blue,2010,41107041
11098,Dodge_Caliber_2010,White,2010,39177967
11819,Dodge_Caliber_2010,White,2010,36358443
12046,Dodge_Caliber_2010,White,2010,44751326
12077,Dodge_Caliber_2010,Black,2010,44760125
12911,Dodge_Caliber_2010,White,2010,38678733
12946,Dodge_Caliber_2010,Black,2010,39247759
13405,Dodge_Caliber_2010,White,2010,35281055
14255,Dodge_Caliber_2010,White,2010,39517282
16298,Dodge_Caliber_2010,Red,2010,35716820
17980,Dodge_Caliber_2010,Blue,2010,39088253
18295,Dodge_Caliber_2010,White,2010,43158397
18806,Dodge_Caliber_2010,Black,2010,35179913
10,GMC_Terrain_2015,Black,2015,29208059
508,GMC_Terrain_2015,Black,2015,24424292
915,GMC_Terrain_2015,White,2015,22629915
1299,GMC_Terrain_2015,Black,2015,23259076
1315,GMC_Terrain_2015,White,2015,23232630
1412,GMC_Terrain_2015,Black,2015,24486265
2058,GMC_Terrain_2015,Blue,2015,22377575
2174,GMC_Terrain_2015,Red,2015,29215567
3313,GMC_Terrain_2015,White,2015,21050953
3855,GMC_Terrain_2015,Blue,2015,26308100
4067,GMC_Terrain_2015,Blue,2015,27552503
4303,GMC_Terrain_2015,Red,2015,21117089
4500,GMC_Terrain_2015,Black,2015,29196811
5657,GMC_Terrain_2015,Black,2015,30201100
6188,GMC_Terrain_2015,Black,2015,26188521
6304,GMC_Terrain_2015,Black,2015,23315429
7198,GMC_Terrain_2015,White,2015,25659663
7259,GMC_Terrain_2015,Red,2015,24804621
7320,GMC_Terrain_2015,White,2015,25668042
7769,GMC_Terrain_2015,Black,2015,28758504
7930,GMC_Terrain_2015,Black,2015,28878966
8563,GMC_Terrain_2015,Black,2015,24379159
9173,GMC_Terrain_2015,White,2015,23498596
9866,GMC_Terrain_2015,White,2015,26274341
11073,GMC_Terrain_2015,Black,2015,26777638
11161,GMC_Terrain_2015,Black,2015,26111395
11565,GMC_Terrain_2015,Blue,2015,24937157
13223,GMC_Terrain_2015,Red,2015,20923251
13226,GMC_Terrain_2015,Red,2015,24644635
15960,GMC_Terrain_2015,Red,2015,23160025
16485,GMC_Terrain_2015,Black,2015,29580312
16670,GMC_Terrain_2015,Blue,2015,23801232
16885,GMC_Terrain_2015,Red,2015,28796755
18186,GMC_Terrain_2015,Black,2015,24349969
18317,GMC_Terrain_2015,Blue,2015,24395981
18736,GMC_Terrain_2015,Orange,2015,24538670
18922,GMC_Terrain_2015,Red,2015,27356317
19721,GMC_Terrain_2015,Black,2015,23986981
11,Acura_TLX_2017,Orange,2017,22473279
143,Acura_TLX_2017,White,2017,14037691
464,Acura_TLX_2017,Blue,2017,15561740
1002,Acura_TLX_2017,Black,2017,21385787
1654,Acura_TLX_2017,Red,2017,23934492
1741,Acura_TLX_2017,Black,2017,18896733
2257,Acura_TLX_2017,White,2017,14893499
2285,Acura_TLX_2017,Red,2017,19737910
2394,Acura_TLX_2017,Red,2017,21321488
2608,Acura_TLX_2017,Blue,2017,16385465
2797,Acura_TLX_2017,Red,2017,21367612
3482,Acura_TLX_2017,Black,2017,22072106
4931,Acura_TLX_2017,White,2017,16068163
6306,Acura_TLX_2017,Red,2017,21077345
7504,Acura_TLX_2017,Red,2017,18597172
7789,Acura_TLX_2017,Red,2017,21060872
8223,Acura_TLX_2017,Red,2017,19024987
11336,Acura_TLX_2017,Black,2017,21913773
11802,Acura_TLX_2017,White,2017,19577338
12632,Acura_TLX_2017,White,2017,15859902
12827,Acura_TLX_2017,Blue,2017,18347248
13033,Acura_TLX_2017,Red,2017,17130704
14222,Acura_TLX_2017,Black,2017,22175272
16069,Acura_TLX_2017,Red,2017,14337658
16474,Acura_TLX_2017,Black,2017,19577920
17179,Acura_TLX_2017,Blue,2017,19252336
17250,Acura_TLX_2017,Red,2017,18288762
12,BMW_Serie 5_2014,Blue,2014,32025699
125,BMW_Serie 5_2014,Blue,2014,33585070
546,BMW_Serie 5_2014,White,2014,37913645
1953,BMW_Serie 5_2014,Black,2014,32832670
4988,BMW_Serie 5_2014,Red,2014,37064050
7303,BMW_Serie 5_2014,White,2014,33547504
7831,BMW_Serie 5_2014,Blue,2014,33570757
7871,BMW_Serie 5_2014,White,2014,31527678
8415,BMW_Serie 5_2014,Red,2014,32956660
9797,BMW_Serie 5_2014,Red,2014,32075504
10544,BMW_Serie 5_2014,Black,2014,38353538
10976,BMW_Serie 5_2014,Orange,2014,34744310
12016,BMW_Serie 5_2014,White,2014,31585970
12316,BMW_Serie 5_2014,Black,2014,31271289
13722,BMW_Serie 5_2014,Blue,2014,38484080
14230,BMW_Serie 5_2014,White,2014,38987120
16202,BMW_Serie 5_2014,Black,2014,38574972
17088,BMW_Serie 5_2014,Black,2014,32166434
17555,BMW_Serie 5_2014,Red,2014,35877862
17716,BMW_Serie 5_2014,Black,2014,32785428
18656,BMW_Serie 5_2014,Black,2014,40205468
19429,BMW_Serie 5_2014,Black,2014,31353866
13,Buick_Envision_2016,Red,2016,21839125
648,Buick_Envision_2016,Black,2016,28193166
1932,Buick_Envision_2016,Blue,2016,26296550
1952,Buick_Envision_2016,Black,2016,30269329
2431,Buick_Envision_2016,Black,2016,23233899
2741,Buick_Envision_2016,White,2016,28191089
2775,Buick_Envision_2016,Blue,2016,30564450
4198,Buick_Envision_2016,Black,2016,29387903
4741,Buick_Envision_2016,Black,2016,22529193
7486,Buick_Envision_2016,Black,2016,24536185
8660,Buick_Envision_2016,Red,2016,23062964
8798,Buick_Envision_2016,Black,2016,25085103
10042,Buick_Envision_2016,Black,2016,28306578
10260,Buick_Envision_2016,White,2016,29702645
10287,Buick_Envision_2016,Red,2016,22452920
10528,Buick_Envision_2016,Black,2016,23411721
11181,Buick_Envision_2016,Black,2016,20777334
11199,Buick_Envision_2016,Black,2016,25116597
11226,Buick_Envision_2016,Blue,2016,29407211
11767,Buick_Envision_2016,Black,2016,25438968
13598,Buick_Envision_2016,Black,2016,26807534
14907,Buick_Envision_2016,Black,2016,23449216
15024,Buick_Envision_2016,Red,2016,24059085
15328,Buick_Envision_2016,Blue,2016,29027695
15409,Buick_Envision_2016,White,2016,25856008
15607,Buick_Envision_2016,Black,2016,23576183
17229,Buick_Envision_2016,Black,2016,23873834
17648,Buick_Envision_2016,Orange,2016,22691883
19313,Buick_Envision_2016,Black,2016,28066077
19749,Buick_Envision_2016,Black,2016,23060412
14,Audi_A4_2018,White,2018,29789949
784,Audi_A4_2018,Red,2018,35548517
1133,Audi_A4_2018,Red,2018,31207479
1188,Audi_A4_2018,Black,2018,31716832
1617,Audi_A4_2018,Orange,2018,33079022
2301,Audi_A4_2018,White,2018,33808729
4580,Audi_A4_2018,Blue,2018,29080856
4581,Audi_A4_2018,Black,2018,34316965
5802,Audi_A4_2018,White,2018,31064946
6018,Audi_A4_2018,Blue,2018,30353797
6259,Audi_A4_2018,Blue,2018,30547476
6525,Audi_A4_2018,Blue,2018,36188093
6877,Audi_A4_2018,Black,2018,27345504
7301,Audi_A4_2018,Blue,2018,33902217
7780,Audi_A4_2018,Red,2018,35957816
9525,Audi_A4_2018,White,2018,27350859
9871,Audi_A4_2018,White,2018,29869812
10322,Audi_A4_2018,Black,2018,32577754
12302,Audi_A4_2018,Black,2018,27494818
12450,Audi_A4_2018,Black,2018,33333782
12481,Audi_A4_2018,White,2018,34735472
12848,Audi_A4_2018,Red,2018,33767092
13049,Audi_A4_2018,White,2018,31782100
14756,Audi_A4_2018,Black,2018,30378178
15037,Audi_A4_2018,Black,2018,36361742
15810,Audi_A4_2018,Black,2018,28805017
18924,Audi_A4_2018,Black,2018,32696507
15,Audi_Q5 Quattro_2011,Red,2011,22343627
304,Audi_Q5 Quattro_2011,Red,2011,20335040
1111,Audi_Q5 Quattro_2011,Black,2011,17409895
2466,Audi_Q5 Quattro_2011,White,2011,19758771
2493,Audi_Q5 Quattro_2011,Black,2011,21645194
2634,Audi_Q5 Quattro_2011,White,2011,17099487
3394,Audi_Q5 Quattro_2011,Blue,2011,18153040
3447,Audi_Q5 Quattro_2011,Black,2011,22414981
3594,Audi_Q5 Quattro_2011,Red,2011,17133385
4474,Audi_Q5 Quattro_2011,Black,2011,24417557
5859,Audi_Q5 Quattro_2011,White,2011,17473905
6394,Audi_Q5 Quattro_2011,Red,2011,20996528
6709,Audi_Q5 Quattro_2011,Black,2011,20522978
6848,Audi_Q5 Quattro_2011,Black,2011,18724926
6875,Audi_Q5 Quattro_2011,Blue,2011,19367265
6917,Audi_Q5 Quattro_2011,Black,2011,21191949
8700,Audi_Q5 Quattro_2011,Red,2011,19472788
9558,Audi_Q5 Quattro_2011,Black,2011,19423920
9782,Audi_Q5 Quattro_2011,White,2011,25633207
11615,Audi_Q5 Quattro_2011,White,2011,26752683
13674,Audi_Q5 Quattro_2011,Black,2011,20668425
16132,Audi_Q5 Quattro_2011,Black,2011,24839305
16731,Audi_Q5 Quattro_2011,Black,2011,22096229
17271,Audi_Q5 Quattro_2011,Blue,2011,18251535
17436,Audi_Q5 Quattro_2011,White,2011,17294754
18529,Audi_Q5 Quattro_2011,Red,2011,18741485
19017,Audi_Q5 Quattro_2011,Blue,2011,26779946
19251,Audi_Q5 Quattro_2011,Orange,2011,26896267
19552,Audi_Q5 Quattro_2011,Black,2011,25735892
16,Renault_Stepway_2019,Black,2019,37616315
913,Renault_Stepway_2019,Black,2019,36868597
1889,Renault_Stepway_2019,Black,2019,31724658
2198,Renault_Stepway_2019,Black,2019,34214693
2381,Renault_Stepway_2019,Blue,2019,31194475
3233,Renault_Stepway_2019,Red,2019,33725918
3458,Renault_Stepway_2019,Black,2019,31410344
4432,Renault_Stepway_2019,Red,2019,34211678
4772,Renault_Stepway_2019,Black,2019,39312633
4979,Renault_Stepway_2019,Black,2019,40924802
4994,Renault_Stepway_2019,Black,2019,33869529
7650,Renault_Stepway_2019,Red,2019,32788763
8262,Renault_Stepway_2019,White,2019,37021146
8762,Renault_Stepway_2019,White,2019,36585514
9692,Renault_Stepway_2019,White,2019,39374141
10900,Renault_Stepway_2019,Red,2019,34986215
10952,Renault_Stepway_2019,Blue,2019,38762536
12270,Renault_Stepway_2019,Red,2019,34421573
12322,Renault_Stepway_2019,White,2019,39324277
12430,Renault_Stepway_2019,Red,2019,33984608
12596,Renault_Stepway_2019,Red,2019,37388771
13864,Renault_Stepway_2019,Red,2019,40307851
14981,Renault_Stepway_2019,White,2019,34744688
15817,Renault_Stepway_2019,Red,2019,36954878
16218,Renault_Stepway_2019,Black,2019,31678544
19975,Renault_Stepway_2019,White,2019,34258072
17,Volvo_C30_2008,Orange,2008,32145409
186,Volvo_C30_2008,Black,2008,24704247
374,Volvo_C30_2008,Blue,2008,26040690
462,Volvo_C30_2008,Blue,2008,32282690
690,Volvo_C30_2008,Blue,2008,28326133
709,Volvo_C30_2008,Blue,2008,30869675
919,Volvo_C30_2008,White,2008,32033397
1232,Volvo_C30_2008,White,2008,24522934
1970,Volvo_C30_2008,White,2008,28479347
2166,Volvo_C30_2008,White,2008,27324513
2590,Volvo_C30_2008,White,2008,28045870
2816,Volvo_C30_2008,Blue,2008,27470258
4893,Volvo_C30_2008,Red,2008,29442264
8505,Volvo_C30_2008,Red,2008,24227908
8647,Volvo_C30_2008,Blue,2008,27611568
12393,Volvo_C30_2008,Black,2008,26060460
12965,Volvo_C30_2008,Red,2008,24518387
13129,Volvo_C30_2008,Red,2008,29266780
13393,Volvo_C30_2008,Black,2008,24737256
13990,Volvo_C30_2008,Red,2008,25210065
14407,Volvo_C30_2008,Black,2008,28477803
15202,Volvo_C30_2008,White,2008,24629989
15606,Volvo_C30_2008,Black,2008,32195119
16058,Volvo_C30_2008,Blue,2008,30802789
16603,Volvo_C30_2008,Black,2008,26020465
17820,Volvo_C30_2008,Black,2008,28552467
18774,Volvo_C30_2008,White,2008,29159237
19403,Volvo_C30_2008,Black,2008,23970546
19773,Volvo_C30_2008,Black,2008,30949233
18,Suzuki_Vitara_2018,Blue,2018,22987292
342,Suzuki_Vitara_2018,Black,2018,22729726
639,Suzuki_Vitara_2018,White,2018,19157659
775,Suzuki_Vitara_2018,Black,2018,26494467
881,Suzuki_Vitara_2018,Black,2018,28123644
1084,Suzuki_Vitara_2018,Blue,2018,23300240
2109,Suzuki_Vitara_2018,Black,2018,22370395
3161,Suzuki_Vitara_2018,Black,2018,25851952
3571,Suzuki_Vitara_2018,White,2018,28470811
3639,Suzuki_Vitara_2018,Blue,2018,19995585
5907,Suzuki_Vitara_2018,White,2018,24377314
6549,Suzuki_Vitara_2018,Red,2018,19726814
6611,Suzuki_Vitara_2018,Black,2018,23452094
6673,Suzuki_Vitara_2018,White,2018,28221380
7771,Suzuki_Vitara_2018,Red,2018,26424985
8903,Suzuki_Vitara_2018,Red,2018,21584014
10616,Suzuki_Vitara_2018,White,2018,28193394
11197,Suzuki_Vitara_2018,White,2018,18682363
12158,Suzuki_Vitara_2018,Black,2018,20023376
13994,Suzuki_Vitara_2018,Black,2018,19620825
14201,Suzuki_Vitara_2018,White,2018,19863956
14301,Suzuki_Vitara_2018,Red,2018,22485488
14802,Suzuki_Vitara_2018,White,2018,21025358
14894,Suzuki_Vitara_2018,Black,2018,23566295
15201,Suzuki_Vitara_2018,Blue,2018,27431517
16758,Suzuki_Vitara_2018,White,2018,18921773
16923,Suzuki_Vitara_2018,Red,2018,27479912
